mes,maxC,minC,rocioC,hum_rel,velo_vien_kph,vien_grad_sex,nubosidad_por,radiac_solar_watios_m2,energ_solar_MJ_m2,clase_hoy,clase_manana
9,17.7,13.9,12.5,84.1,22.3,173.7,97,299.2,25.8,nublado,nublado
9,17,13.9,12.3,83.3,18.4,173.1,97,281.9,24.5,nublado,nublado
9,19,14.7,12.1,77.1,20.5,173.3,57.7,296.1,25.6,parcialmente_nublado,nublado
9,18.1,14,12.5,80.3,25.9,167.9,72.6,299.3,25.8,parcialmente_nublado,parcialmente_nublado
9,17.1,14,12.2,81.2,14.8,200.2,86.2,296.5,25.5,parcialmente_nublado,parcialmente_nublado
9,18,14.7,12.5,80.7,18.4,182.4,97.1,297.7,25.7,nublado,parcialmente_nublado
9,17,14.6,12.3,81.7,20.5,203.5,99.1,297.5,25.8,nublado,nublado
9,17,14,12.3,80.9,14.8,282,91.7,280.2,24.4,nublado,nublado
9,18.1,14.7,12.8,82.2,13,198.4,87.7,224.9,19.3,parcialmente_nublado,nublado
9,18.1,14.8,13.3,84.7,13,219.6,61.2,301,26,parcialmente_nublado,parcialmente_nublado
9,19,14,13.8,86.4,18.4,201.2,65.8,304.2,26.2,parcialmente_nublado,parcialmente_nublado
9,20,14.7,14.2,86.1,22.3,176.1,56.4,304.9,26.4,parcialmente_nublado,parcialmente_nublado
9,19.1,14.8,14,88.2,22.3,177.5,86.4,291.2,25.1,parcialmente_nublado,parcialmente_nublado
9,19,14.7,14.1,86.6,22.3,177.4,98.4,286.7,24.9,nublado,parcialmente_nublado
9,19,15,14.1,86.9,20.5,185.5,91.5,287.6,24.8,nublado,nublado
9,20,15.8,14.3,83.8,24.1,170.9,78.1,293.6,25.3,parcialmente_nublado,nublado
9,19,15,14.2,86.9,22.3,174.4,95.4,290,25,nublado,parcialmente_nublado
9,19,15,14.1,86.1,29.5,193.5,98.6,291.9,25.4,nublado,nublado
9,18,15,13.8,85.4,24.1,178.4,85.4,218.7,18.8,parcialmente_nublado,nublado
9,19,14.9,14,85.7,22.3,168.8,84.1,305.1,26.3,parcialmente_nublado,parcialmente_nublado
9,17.1,15,13.4,84.1,18.4,197.3,97.8,313,27,nublado,parcialmente_nublado
9,19,15,13.3,81.6,18.4,185.5,81.1,314.9,27.3,parcialmente_nublado,nublado
9,19,14,13.2,83.8,14.8,194.5,69.6,241.6,20.9,parcialmente_nublado,parcialmente_nublado
9,18.2,14.9,13.6,84.2,14.8,225.6,93.3,292.7,25.4,nublado,parcialmente_nublado
10,19.2,15.2,13.6,81,22.3,181.3,89,310.2,26.5,parcialmente_nublado,nublado
10,18,14,13.8,87,20.5,175.4,85.5,318.7,27.7,parcialmente_nublado,parcialmente_nublado
10,17.2,15,13.8,88,14.8,187.4,93.6,324,28,nublado,parcialmente_nublado
10,19,15,14,86.3,14.8,212.2,90.8,328,28.4,nublado,nublado
10,17,14,13.5,86.4,13,198.5,100,324.7,28.1,nublado,nublado
10,18,15,13.5,84,22.3,180.2,97.9,326.7,28.3,nublado,nublado
