inst#,actual,predicted,error,prediction
208,1:lluvioso,1:lluvioso,,0.98
209,2:parcialmente_nublado,2:parcialmente_nublado,,0.61
210,3:nublado,1:lluvioso,+,0.97
211,2:parcialmente_nublado,2:parcialmente_nublado,,0.48
212,2:parcialmente_nublado,1:lluvioso,+,0.63
213,3:nublado,3:nublado,,0.81
214,2:parcialmente_nublado,2:parcialmente_nublado,,0.8
215,2:parcialmente_nublado,2:parcialmente_nublado,,0.76
216,1:lluvioso,1:lluvioso,,0.51
217,3:nublado,3:nublado,,0.65
218,1:lluvioso,1:lluvioso,,0.93
219,3:nublado,3:nublado,,0.5
220,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
221,1:lluvioso,1:lluvioso,,0.83
222,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
223,3:nublado,3:nublado,,0.69
224,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
225,1:lluvioso,1:lluvioso,,0.93
226,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
227,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
228,2:parcialmente_nublado,2:parcialmente_nublado,,0.76
229,3:nublado,3:nublado,,0.73
230,1:lluvioso,3:nublado,+,0.46
231,3:nublado,3:nublado,,0.74
232,2:parcialmente_nublado,2:parcialmente_nublado,,0.69
233,3:nublado,3:nublado,,0.73
234,1:lluvioso,1:lluvioso,,0.95
235,1:lluvioso,1:lluvioso,,0.56
236,2:parcialmente_nublado,1:lluvioso,+,0.64
237,1:lluvioso,1:lluvioso,,0.7
238,1:lluvioso,1:lluvioso,,0.69
239,1:lluvioso,1:lluvioso,,0.95
240,2:parcialmente_nublado,2:parcialmente_nublado,,0.86
241,1:lluvioso,1:lluvioso,,0.85
242,3:nublado,3:nublado,,0.72
243,3:nublado,3:nublado,,0.61
244,3:nublado,2:parcialmente_nublado,+,0.44
245,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
246,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
247,1:lluvioso,2:parcialmente_nublado,+,0.66
248,3:nublado,3:nublado,,0.8
249,2:parcialmente_nublado,2:parcialmente_nublado,,0.55
250,3:nublado,3:nublado,,0.78
251,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
252,3:nublado,2:parcialmente_nublado,+,0.55
253,3:nublado,2:parcialmente_nublado,+,0.53
254,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
255,1:lluvioso,1:lluvioso,,0.92
256,3:nublado,3:nublado,,0.61
257,3:nublado,3:nublado,,0.81
258,3:nublado,3:nublado,,0.75
259,2:parcialmente_nublado,2:parcialmente_nublado,,0.46
260,2:parcialmente_nublado,2:parcialmente_nublado,,0.65
261,2:parcialmente_nublado,2:parcialmente_nublado,,0.68
262,1:lluvioso,1:lluvioso,,0.78
263,3:nublado,2:parcialmente_nublado,+,0.81
264,1:lluvioso,1:lluvioso,,0.85
265,3:nublado,2:parcialmente_nublado,+,0.87
266,1:lluvioso,1:lluvioso,,0.84
267,3:nublado,3:nublado,,0.63
268,1:lluvioso,1:lluvioso,,0.73
269,3:nublado,3:nublado,,0.67
270,1:lluvioso,2:parcialmente_nublado,+,0.692
271,3:nublado,3:nublado,,0.84
272,1:lluvioso,1:lluvioso,,0.9
273,1:lluvioso,1:lluvioso,,0.91
274,1:lluvioso,3:nublado,+,0.63
275,1:lluvioso,2:parcialmente_nublado,+,0.69
276,3:nublado,2:parcialmente_nublado,+,0.79
277,2:parcialmente_nublado,2:parcialmente_nublado,,0.69
278,1:lluvioso,2:parcialmente_nublado,+,0.67
279,3:nublado,3:nublado,,0.72
280,2:parcialmente_nublado,2:parcialmente_nublado,,0.67
281,3:nublado,3:nublado,,0.77
282,3:nublado,2:parcialmente_nublado,+,0.55
283,1:lluvioso,1:lluvioso,,0.97
284,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
285,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
286,1:lluvioso,1:lluvioso,,0.93
287,3:nublado,1:lluvioso,+,0.75
288,1:lluvioso,1:lluvioso,,0.83
289,1:lluvioso,3:nublado,+,0.68
290,1:lluvioso,1:lluvioso,,0.55
291,2:parcialmente_nublado,2:parcialmente_nublado,,0.72
292,3:nublado,1:lluvioso,+,0.72
293,3:nublado,1:lluvioso,+,0.71
294,3:nublado,3:nublado,,0.88
295,2:parcialmente_nublado,2:parcialmente_nublado,,0.55
296,2:parcialmente_nublado,3:nublado,+,0.77
297,3:nublado,3:nublado,,0.66
298,3:nublado,3:nublado,,0.95
299,2:parcialmente_nublado,2:parcialmente_nublado,,0.74
300,1:lluvioso,1:lluvioso,,0.96
301,1:lluvioso,1:lluvioso,,0.84
302,3:nublado,2:parcialmente_nublado,+,0.48
303,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
304,3:nublado,3:nublado,,0.6
305,3:nublado,3:nublado,,0.92
306,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
307,2:parcialmente_nublado,1:lluvioso,+,0.96
308,2:parcialmente_nublado,2:parcialmente_nublado,,0.62
309,2:parcialmente_nublado,2:parcialmente_nublado,,0.51
310,2:parcialmente_nublado,2:parcialmente_nublado,,0.74
311,1:lluvioso,1:lluvioso,,0.98
312,1:lluvioso,1:lluvioso,,0.71
313,2:parcialmente_nublado,3:nublado,+,0.46
314,3:nublado,3:nublado,,0.64
315,1:lluvioso,1:lluvioso,,0.87
316,1:lluvioso,1:lluvioso,,0.44
317,3:nublado,3:nublado,,0.72
318,1:lluvioso,1:lluvioso,,0.88
319,3:nublado,3:nublado,,0.93
320,1:lluvioso,1:lluvioso,,0.91
321,1:lluvioso,1:lluvioso,,0.98
322,2:parcialmente_nublado,2:parcialmente_nublado,,0.63
323,3:nublado,3:nublado,,0.88
324,2:parcialmente_nublado,2:parcialmente_nublado,,0.73
325,2:parcialmente_nublado,2:parcialmente_nublado,,0.69
326,3:nublado,3:nublado,,0.94
327,3:nublado,3:nublado,,0.55
328,2:parcialmente_nublado,2:parcialmente_nublado,,0.71
329,2:parcialmente_nublado,2:parcialmente_nublado,,0.82
330,2:parcialmente_nublado,3:nublado,+,0.55
331,3:nublado,2:parcialmente_nublado,+,0.53
332,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
333,3:nublado,3:nublado,,0.75
334,3:nublado,3:nublado,,0.61
335,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
336,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
337,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
338,3:nublado,2:parcialmente_nublado,+,0.68
339,3:nublado,3:nublado,,0.66
340,3:nublado,3:nublado,,0.73
341,3:nublado,3:nublado,,0.84
342,2:parcialmente_nublado,2:parcialmente_nublado,,0.96
343,3:nublado,3:nublado,,0.9
344,1:lluvioso,1:lluvioso,,0.98
345,3:nublado,3:nublado,,0.66
346,1:lluvioso,1:lluvioso,,0.97
347,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
348,1:lluvioso,1:lluvioso,,0.99
349,3:nublado,3:nublado,,0.57
350,3:nublado,2:parcialmente_nublado,+,0.68
351,2:parcialmente_nublado,3:nublado,+,0.38
352,3:nublado,2:parcialmente_nublado,+,0.71
353,3:nublado,3:nublado,,0.92
354,1:lluvioso,1:lluvioso,,0.89
355,3:nublado,3:nublado,,0.78
356,3:nublado,3:nublado,,0.46
357,3:nublado,3:nublado,,0.95
358,3:nublado,3:nublado,,0.87
359,3:nublado,2:parcialmente_nublado,+,0.77
360,1:lluvioso,1:lluvioso,,0.88
361,2:parcialmente_nublado,3:nublado,+,0.55
362,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
363,2:parcialmente_nublado,1:lluvioso,+,0.98
364,1:lluvioso,1:lluvioso,,0.84
365,2:parcialmente_nublado,2:parcialmente_nublado,,0.79
366,3:nublado,3:nublado,,0.54
367,1:lluvioso,1:lluvioso,,0.92
368,3:nublado,3:nublado,,0.86
369,2:parcialmente_nublado,2:parcialmente_nublado,,0.5
370,3:nublado,3:nublado,,0.81
371,3:nublado,3:nublado,,0.66
372,2:parcialmente_nublado,2:parcialmente_nublado,,0.65
373,3:nublado,3:nublado,,0.94
374,2:parcialmente_nublado,2:parcialmente_nublado,,0.57
375,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
376,1:lluvioso,1:lluvioso,,0.52
377,3:nublado,2:parcialmente_nublado,+,0.76
378,1:lluvioso,2:parcialmente_nublado,+,0.5
379,3:nublado,3:nublado,,0.77
380,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
381,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
382,1:lluvioso,2:parcialmente_nublado,+,0.68
383,1:lluvioso,1:lluvioso,,0.95
384,1:lluvioso,1:lluvioso,,0.99
385,2:parcialmente_nublado,2:parcialmente_nublado,,0.79
386,3:nublado,2:parcialmente_nublado,+,0.95
387,1:lluvioso,1:lluvioso,,0.9
388,2:parcialmente_nublado,1:lluvioso,+,0.71
389,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
390,3:nublado,3:nublado,,0.8
391,1:lluvioso,1:lluvioso,,0.88
392,3:nublado,3:nublado,,0.93
393,1:lluvioso,1:lluvioso,,0.98
394,1:lluvioso,1:lluvioso,,0.98
395,3:nublado,3:nublado,,0.53
396,1:lluvioso,2:parcialmente_nublado,+,0.46
397,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
398,2:parcialmente_nublado,2:parcialmente_nublado,,0.52
399,1:lluvioso,1:lluvioso,,0.96
400,3:nublado,2:parcialmente_nublado,+,0.54
401,2:parcialmente_nublado,3:nublado,+,0.56
402,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
403,2:parcialmente_nublado,2:parcialmente_nublado,,0.57
404,3:nublado,3:nublado,,0.81
405,3:nublado,2:parcialmente_nublado,+,0.52
406,2:parcialmente_nublado,1:lluvioso,+,0.43
407,3:nublado,3:nublado,,0.85
408,3:nublado,3:nublado,,0.84
409,1:lluvioso,1:lluvioso,,0.92
410,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
411,2:parcialmente_nublado,2:parcialmente_nublado,,0.76
412,2:parcialmente_nublado,2:parcialmente_nublado,,0.51
413,2:parcialmente_nublado,2:parcialmente_nublado,,0.73
414,2:parcialmente_nublado,1:lluvioso,+,0.83
415,3:nublado,2:parcialmente_nublado,+,0.74
416,3:nublado,1:lluvioso,+,0.62
417,1:lluvioso,1:lluvioso,,0.77
418,3:nublado,3:nublado,,0.7
419,1:lluvioso,1:lluvioso,,0.94
420,3:nublado,3:nublado,,0.98
421,1:lluvioso,3:nublado,+,0.62
422,1:lluvioso,1:lluvioso,,0.63
423,3:nublado,2:parcialmente_nublado,+,0.6
424,1:lluvioso,1:lluvioso,,0.75
425,2:parcialmente_nublado,2:parcialmente_nublado,,0.86
426,1:lluvioso,1:lluvioso,,0.74
427,2:parcialmente_nublado,1:lluvioso,+,0.53
428,3:nublado,2:parcialmente_nublado,+,0.53
429,2:parcialmente_nublado,2:parcialmente_nublado,,0.91
430,2:parcialmente_nublado,1:lluvioso,+,0.47
431,1:lluvioso,1:lluvioso,,0.86
432,2:parcialmente_nublado,1:lluvioso,+,0.88
433,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
434,1:lluvioso,1:lluvioso,,0.52
435,1:lluvioso,1:lluvioso,,0.84
436,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
437,1:lluvioso,1:lluvioso,,0.98
438,2:parcialmente_nublado,3:nublado,+,0.61
439,2:parcialmente_nublado,2:parcialmente_nublado,,0.81
440,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
441,3:nublado,2:parcialmente_nublado,+,0.95
442,3:nublado,1:lluvioso,+,0.66
443,1:lluvioso,1:lluvioso,,0.68
444,1:lluvioso,1:lluvioso,,0.91
445,3:nublado,3:nublado,,0.83
446,1:lluvioso,1:lluvioso,,0.84
447,2:parcialmente_nublado,1:lluvioso,+,0.44
448,1:lluvioso,1:lluvioso,,0.97
449,1:lluvioso,1:lluvioso,,0.93
450,3:nublado,3:nublado,,0.572
451,2:parcialmente_nublado,2:parcialmente_nublado,,0.86
452,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
453,1:lluvioso,1:lluvioso,,0.83
454,1:lluvioso,1:lluvioso,,0.85
455,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
456,1:lluvioso,1:lluvioso,,0.78
457,1:lluvioso,1:lluvioso,,0.86
458,3:nublado,3:nublado,,0.91
459,1:lluvioso,1:lluvioso,,0.85
460,3:nublado,2:parcialmente_nublado,+,0.61
461,1:lluvioso,1:lluvioso,,0.71
462,2:parcialmente_nublado,3:nublado,+,0.45
463,1:lluvioso,1:lluvioso,,0.99
464,3:nublado,2:parcialmente_nublado,+,0.69
465,2:parcialmente_nublado,2:parcialmente_nublado,,0.99
466,2:parcialmente_nublado,3:nublado,+,0.66
467,3:nublado,3:nublado,,0.81
468,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
469,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
470,2:parcialmente_nublado,2:parcialmente_nublado,,0.82
471,3:nublado,3:nublado,,0.77
472,1:lluvioso,2:parcialmente_nublado,+,0.42
473,2:parcialmente_nublado,1:lluvioso,+,0.74
474,3:nublado,3:nublado,,0.49
475,1:lluvioso,1:lluvioso,,0.89
476,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
477,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
478,3:nublado,3:nublado,,0.84
479,1:lluvioso,1:lluvioso,,0.81
480,1:lluvioso,1:lluvioso,,0.95
481,1:lluvioso,3:nublado,+,0.5
482,1:lluvioso,1:lluvioso,,0.85
483,2:parcialmente_nublado,2:parcialmente_nublado,,0.46
484,1:lluvioso,1:lluvioso,,0.9
485,2:parcialmente_nublado,1:lluvioso,+,0.78
486,1:lluvioso,1:lluvioso,,0.99
487,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
488,3:nublado,3:nublado,,0.84
489,2:parcialmente_nublado,2:parcialmente_nublado,,0.86
490,3:nublado,3:nublado,,0.56
491,3:nublado,1:lluvioso,+,0.63
492,3:nublado,3:nublado,,0.52
493,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
494,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
495,1:lluvioso,1:lluvioso,,0.8
496,2:parcialmente_nublado,2:parcialmente_nublado,,0.96
497,3:nublado,3:nublado,,0.66
498,2:parcialmente_nublado,3:nublado,+,0.61
499,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
500,3:nublado,1:lluvioso,+,0.6
501,1:lluvioso,1:lluvioso,,0.45
502,2:parcialmente_nublado,1:lluvioso,+,0.64
503,3:nublado,3:nublado,,0.65
504,3:nublado,3:nublado,,0.7
505,2:parcialmente_nublado,3:nublado,+,0.97
506,3:nublado,3:nublado,,0.57
507,3:nublado,3:nublado,,0.74
508,1:lluvioso,1:lluvioso,,0.93
509,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
510,3:nublado,3:nublado,,0.76
511,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
512,2:parcialmente_nublado,2:parcialmente_nublado,,0.99
513,1:lluvioso,3:nublado,+,0.55
514,2:parcialmente_nublado,2:parcialmente_nublado,,0.75
515,2:parcialmente_nublado,3:nublado,+,0.56
516,1:lluvioso,1:lluvioso,,0.85
517,3:nublado,3:nublado,,0.87
518,1:lluvioso,1:lluvioso,,0.76
519,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
520,2:parcialmente_nublado,2:parcialmente_nublado,,0.52
521,1:lluvioso,1:lluvioso,,0.88
522,2:parcialmente_nublado,2:parcialmente_nublado,,0.59
523,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
524,1:lluvioso,1:lluvioso,,0.9
525,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
526,1:lluvioso,1:lluvioso,,0.92
527,1:lluvioso,1:lluvioso,,0.37
528,1:lluvioso,2:parcialmente_nublado,+,0.51
529,3:nublado,2:parcialmente_nublado,+,0.48
530,3:nublado,3:nublado,,0.76
531,1:lluvioso,1:lluvioso,,0.98
532,3:nublado,3:nublado,,0.84
533,2:parcialmente_nublado,1:lluvioso,+,0.82
534,1:lluvioso,1:lluvioso,,0.66
535,3:nublado,3:nublado,,0.85
536,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
537,2:parcialmente_nublado,2:parcialmente_nublado,,0.91
538,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
539,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
540,3:nublado,3:nublado,,0.81
541,3:nublado,3:nublado,,0.59
542,2:parcialmente_nublado,3:nublado,+,0.53
543,3:nublado,3:nublado,,0.98
544,2:parcialmente_nublado,1:lluvioso,+,1
545,2:parcialmente_nublado,2:parcialmente_nublado,,0.78
546,1:lluvioso,1:lluvioso,,0.8
547,3:nublado,3:nublado,,0.69
548,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
549,1:lluvioso,1:lluvioso,,0.88
550,2:parcialmente_nublado,2:parcialmente_nublado,,0.73
551,1:lluvioso,1:lluvioso,,0.86
552,3:nublado,3:nublado,,0.74
553,1:lluvioso,3:nublado,+,0.5
554,1:lluvioso,1:lluvioso,,0.96
555,1:lluvioso,2:parcialmente_nublado,+,0.63
556,3:nublado,3:nublado,,0.82
557,2:parcialmente_nublado,2:parcialmente_nublado,,0.87
558,1:lluvioso,2:parcialmente_nublado,+,0.52
559,1:lluvioso,1:lluvioso,,0.67
560,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
561,2:parcialmente_nublado,2:parcialmente_nublado,,0.76
562,3:nublado,3:nublado,,0.75
563,1:lluvioso,1:lluvioso,,0.53
564,2:parcialmente_nublado,2:parcialmente_nublado,,0.56
565,2:parcialmente_nublado,2:parcialmente_nublado,,0.68
566,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
567,3:nublado,3:nublado,,0.7
568,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
569,3:nublado,3:nublado,,0.77
570,1:lluvioso,1:lluvioso,,0.85
571,1:lluvioso,1:lluvioso,,0.9
572,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
573,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
574,3:nublado,3:nublado,,0.69
575,3:nublado,3:nublado,,0.82
576,1:lluvioso,1:lluvioso,,0.85
577,1:lluvioso,1:lluvioso,,0.87
578,2:parcialmente_nublado,2:parcialmente_nublado,,0.91
579,1:lluvioso,1:lluvioso,,0.71
580,2:parcialmente_nublado,2:parcialmente_nublado,,0.81
581,3:nublado,3:nublado,,0.472
582,3:nublado,3:nublado,,0.88
583,1:lluvioso,3:nublado,+,0.76
584,3:nublado,3:nublado,,0.94
585,1:lluvioso,1:lluvioso,,0.93
586,2:parcialmente_nublado,3:nublado,+,0.65
587,3:nublado,3:nublado,,0.75
588,2:parcialmente_nublado,2:parcialmente_nublado,,0.49
589,3:nublado,3:nublado,,0.81
590,1:lluvioso,3:nublado,+,0.53
591,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
592,2:parcialmente_nublado,2:parcialmente_nublado,,0.57
593,1:lluvioso,1:lluvioso,,0.78
594,2:parcialmente_nublado,2:parcialmente_nublado,,0.96
595,2:parcialmente_nublado,3:nublado,+,0.86
596,2:parcialmente_nublado,2:parcialmente_nublado,,0.82
597,3:nublado,3:nublado,,0.52
598,1:lluvioso,1:lluvioso,,0.97
599,3:nublado,3:nublado,,0.65
600,1:lluvioso,1:lluvioso,,0.98
601,3:nublado,3:nublado,,0.56
602,1:lluvioso,1:lluvioso,,0.65
603,2:parcialmente_nublado,2:parcialmente_nublado,,0.58
604,1:lluvioso,2:parcialmente_nublado,+,0.7
605,3:nublado,3:nublado,,0.84
606,3:nublado,3:nublado,,0.6
607,3:nublado,3:nublado,,0.91
608,2:parcialmente_nublado,1:lluvioso,+,0.82
609,2:parcialmente_nublado,3:nublado,+,0.65
610,1:lluvioso,1:lluvioso,,0.78
611,2:parcialmente_nublado,2:parcialmente_nublado,,0.75
612,3:nublado,3:nublado,,0.91
613,2:parcialmente_nublado,2:parcialmente_nublado,,0.91
614,1:lluvioso,1:lluvioso,,0.65
615,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
616,3:nublado,3:nublado,,0.74
617,2:parcialmente_nublado,2:parcialmente_nublado,,0.86
618,2:parcialmente_nublado,3:nublado,+,0.8
619,1:lluvioso,1:lluvioso,,0.76
620,1:lluvioso,1:lluvioso,,0.56
621,1:lluvioso,1:lluvioso,,0.75
622,2:parcialmente_nublado,3:nublado,+,0.58
623,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
624,3:nublado,3:nublado,,0.66
625,1:lluvioso,1:lluvioso,,0.92
626,3:nublado,3:nublado,,0.91
627,2:parcialmente_nublado,3:nublado,+,0.81
628,3:nublado,1:lluvioso,+,0.55
629,3:nublado,3:nublado,,0.65
630,3:nublado,3:nublado,,0.92
631,1:lluvioso,3:nublado,+,0.36
632,1:lluvioso,2:parcialmente_nublado,+,0.83
633,3:nublado,3:nublado,,0.71
634,2:parcialmente_nublado,1:lluvioso,+,0.71
635,1:lluvioso,1:lluvioso,,0.8
636,3:nublado,3:nublado,,0.71
637,1:lluvioso,2:parcialmente_nublado,+,0.38
638,3:nublado,3:nublado,,0.87
639,1:lluvioso,1:lluvioso,,0.96
640,1:lluvioso,1:lluvioso,,0.76
641,3:nublado,3:nublado,,0.97
642,2:parcialmente_nublado,1:lluvioso,+,0.95
643,3:nublado,3:nublado,,0.83
644,1:lluvioso,1:lluvioso,,0.51
645,1:lluvioso,1:lluvioso,,0.92
646,1:lluvioso,1:lluvioso,,0.99
647,1:lluvioso,2:parcialmente_nublado,+,0.62
648,3:nublado,3:nublado,,0.93
649,3:nublado,3:nublado,,0.84
650,2:parcialmente_nublado,3:nublado,+,0.55
651,3:nublado,3:nublado,,0.8
652,1:lluvioso,1:lluvioso,,0.5
653,1:lluvioso,1:lluvioso,,0.85
654,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
655,1:lluvioso,2:parcialmente_nublado,+,0.83
656,1:lluvioso,1:lluvioso,,0.89
657,3:nublado,3:nublado,,0.8
658,2:parcialmente_nublado,3:nublado,+,0.49
659,2:parcialmente_nublado,1:lluvioso,+,0.65
660,3:nublado,3:nublado,,0.67
661,2:parcialmente_nublado,1:lluvioso,+,0.79
662,2:parcialmente_nublado,3:nublado,+,0.48
663,1:lluvioso,1:lluvioso,,0.91
664,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
665,2:parcialmente_nublado,1:lluvioso,+,0.6
666,1:lluvioso,3:nublado,+,0.7
667,3:nublado,3:nublado,,0.97
668,1:lluvioso,3:nublado,+,0.63
669,1:lluvioso,1:lluvioso,,0.84
670,3:nublado,3:nublado,,0.53
671,2:parcialmente_nublado,2:parcialmente_nublado,,0.6
672,3:nublado,1:lluvioso,+,0.69
673,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
674,3:nublado,3:nublado,,0.72
675,3:nublado,3:nublado,,0.78
676,2:parcialmente_nublado,1:lluvioso,+,0.49
677,3:nublado,3:nublado,,0.89
678,1:lluvioso,2:parcialmente_nublado,+,0.55
679,2:parcialmente_nublado,3:nublado,+,0.6
680,3:nublado,3:nublado,,0.81
681,3:nublado,3:nublado,,0.96
682,3:nublado,2:parcialmente_nublado,+,0.78
683,3:nublado,1:lluvioso,+,0.58
684,2:parcialmente_nublado,2:parcialmente_nublado,,0.4
685,3:nublado,1:lluvioso,+,0.61
686,3:nublado,2:parcialmente_nublado,+,0.59
687,2:parcialmente_nublado,1:lluvioso,+,0.83
688,3:nublado,3:nublado,,0.8
689,3:nublado,3:nublado,,0.86
690,2:parcialmente_nublado,2:parcialmente_nublado,,0.48
691,1:lluvioso,3:nublado,+,0.69
692,1:lluvioso,1:lluvioso,,0.91
693,3:nublado,3:nublado,,0.93
694,1:lluvioso,1:lluvioso,,0.45
695,2:parcialmente_nublado,1:lluvioso,+,0.71
696,2:parcialmente_nublado,2:parcialmente_nublado,,0.5
697,1:lluvioso,1:lluvioso,,0.64
698,1:lluvioso,1:lluvioso,,0.77
699,2:parcialmente_nublado,2:parcialmente_nublado,,0.65
700,3:nublado,3:nublado,,0.65
701,1:lluvioso,1:lluvioso,,0.76
702,1:lluvioso,1:lluvioso,,0.48
703,2:parcialmente_nublado,3:nublado,+,0.7
704,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
705,3:nublado,2:parcialmente_nublado,+,0.39
706,1:lluvioso,1:lluvioso,,0.83
707,1:lluvioso,1:lluvioso,,0.82
708,1:lluvioso,1:lluvioso,,0.86
709,3:nublado,3:nublado,,0.66
710,1:lluvioso,1:lluvioso,,0.77
711,1:lluvioso,3:nublado,+,0.63
712,3:nublado,3:nublado,,0.88
713,2:parcialmente_nublado,2:parcialmente_nublado,,0.45
714,3:nublado,3:nublado,,0.64
715,2:parcialmente_nublado,3:nublado,+,0.46
716,3:nublado,3:nublado,,0.62
717,3:nublado,1:lluvioso,+,0.66
718,2:parcialmente_nublado,2:parcialmente_nublado,,0.99
719,3:nublado,3:nublado,,0.49
720,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
721,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
722,3:nublado,2:parcialmente_nublado,+,0.51
723,3:nublado,3:nublado,,0.62
724,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
725,1:lluvioso,1:lluvioso,,0.84
726,1:lluvioso,1:lluvioso,,0.69
727,2:parcialmente_nublado,1:lluvioso,+,0.55
728,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
729,3:nublado,1:lluvioso,+,0.6
730,3:nublado,3:nublado,,0.89
731,2:parcialmente_nublado,2:parcialmente_nublado,,0.51
732,3:nublado,3:nublado,,0.93
733,1:lluvioso,2:parcialmente_nublado,+,0.56
734,3:nublado,3:nublado,,0.75
735,2:parcialmente_nublado,2:parcialmente_nublado,,0.75
736,3:nublado,3:nublado,,0.44
737,1:lluvioso,1:lluvioso,,0.96
738,2:parcialmente_nublado,3:nublado,+,0.58
739,2:parcialmente_nublado,3:nublado,+,0.68
740,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
741,1:lluvioso,1:lluvioso,,0.93
742,3:nublado,3:nublado,,0.63
743,3:nublado,3:nublado,,0.84
744,2:parcialmente_nublado,2:parcialmente_nublado,,0.75
745,1:lluvioso,1:lluvioso,,0.88
746,2:parcialmente_nublado,3:nublado,+,0.66
747,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
748,2:parcialmente_nublado,2:parcialmente_nublado,,0.57
749,3:nublado,3:nublado,,0.95
750,1:lluvioso,1:lluvioso,,0.71
751,1:lluvioso,1:lluvioso,,0.87
752,3:nublado,3:nublado,,0.66
753,2:parcialmente_nublado,1:lluvioso,+,0.61
754,2:parcialmente_nublado,1:lluvioso,+,0.43
755,1:lluvioso,1:lluvioso,,0.65
756,3:nublado,3:nublado,,0.91
757,3:nublado,3:nublado,,0.9
758,1:lluvioso,1:lluvioso,,0.97
759,3:nublado,3:nublado,,0.94
760,3:nublado,3:nublado,,0.91
761,1:lluvioso,1:lluvioso,,0.67
762,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
763,3:nublado,2:parcialmente_nublado,+,0.55
764,1:lluvioso,1:lluvioso,,0.93
765,1:lluvioso,1:lluvioso,,0.9
766,2:parcialmente_nublado,2:parcialmente_nublado,,0.922
767,3:nublado,3:nublado,,0.75
768,3:nublado,3:nublado,,0.69
769,2:parcialmente_nublado,3:nublado,+,0.87
770,1:lluvioso,1:lluvioso,,0.79
771,1:lluvioso,3:nublado,+,0.63
772,3:nublado,3:nublado,,0.8
773,3:nublado,3:nublado,,0.72
774,2:parcialmente_nublado,3:nublado,+,0.5
