inst#,actual,predicted,error,prediction
1074,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
1075,3:nublado,3:nublado,,0.84
1076,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
1077,1:lluvioso,1:lluvioso,,0.63
1078,3:nublado,3:nublado,,0.52
1079,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
1080,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
1081,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
1082,2:parcialmente_nublado,2:parcialmente_nublado,,0.8
1083,1:lluvioso,1:lluvioso,,0.99
1084,2:parcialmente_nublado,3:nublado,+,0.89
1085,1:lluvioso,1:lluvioso,,0.73
1086,2:parcialmente_nublado,3:nublado,+,0.58
1087,3:nublado,3:nublado,,1
1088,2:parcialmente_nublado,1:lluvioso,+,0.73
1089,1:lluvioso,1:lluvioso,,0.51
1090,2:parcialmente_nublado,2:parcialmente_nublado,,0.51
1091,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
1092,3:nublado,3:nublado,,0.64
1093,1:lluvioso,1:lluvioso,,0.52
1094,2:parcialmente_nublado,1:lluvioso,+,0.361
1095,1:lluvioso,1:lluvioso,,0.99
1096,1:lluvioso,1:lluvioso,,0.98
1097,3:nublado,3:nublado,,0.96
1098,2:parcialmente_nublado,3:nublado,+,0.86
1099,1:lluvioso,1:lluvioso,,0.94
1100,3:nublado,3:nublado,,0.82
1101,1:lluvioso,1:lluvioso,,0.81
1102,3:nublado,3:nublado,,0.74
1103,3:nublado,3:nublado,,0.89
1104,1:lluvioso,1:lluvioso,,0.49
1105,3:nublado,1:lluvioso,+,0.86
1106,3:nublado,3:nublado,,0.72
1107,1:lluvioso,1:lluvioso,,0.96
1108,1:lluvioso,1:lluvioso,,0.97
1109,2:parcialmente_nublado,1:lluvioso,+,0.72
1110,1:lluvioso,1:lluvioso,,0.76
1111,2:parcialmente_nublado,2:parcialmente_nublado,,0.71
1112,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
1113,2:parcialmente_nublado,2:parcialmente_nublado,,0.63
1114,3:nublado,2:parcialmente_nublado,+,0.84
1115,1:lluvioso,1:lluvioso,,0.84
1116,1:lluvioso,1:lluvioso,,0.92
1117,3:nublado,3:nublado,,0.85
1118,1:lluvioso,1:lluvioso,,0.94
1119,1:lluvioso,1:lluvioso,,0.61
1120,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
1121,1:lluvioso,1:lluvioso,,0.51
1122,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
1123,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
1124,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
1125,1:lluvioso,1:lluvioso,,0.94
1126,2:parcialmente_nublado,1:lluvioso,+,0.76
1127,1:lluvioso,1:lluvioso,,0.92
1128,1:lluvioso,1:lluvioso,,0.92
1129,1:lluvioso,1:lluvioso,,0.9
1130,2:parcialmente_nublado,1:lluvioso,+,0.5
1131,3:nublado,3:nublado,,0.62
1132,1:lluvioso,1:lluvioso,,0.95
1133,3:nublado,3:nublado,,0.5
